xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
0.5	1.5	1	segments	1	segments	1	1	1
1.5	2.5	2 1	segments	2	segments	1	1	266
2.5	3.5	3 1	segments	3	segments	1	1	434
3.5	4.5	4 1	segments	4	segments	1	1	458
4.5	5.5	5 1	segments	5	segments	1	1	482
5.5	6.5	6 1	segments	6	segments	1	1	506
6.5	7.5	7 1	segments	7	segments	1	1	530
7.5	8.5	8 1	segments	8	segments	1	1	554
8.5	9.5	9 1	segments	9	segments	1	1	578
9.5	10.5	10 1	segments	10	segments	1	1	26
10.5	11.5	11 1	segments	11	segments	1	1	50
11.5	12.5	12 1	segments	12	segments	1	1	74
12.5	13.5	13 1	segments	13	segments	1	1	98
13.5	14.5	14 1	segments	14	segments	1	1	122
14.5	15.5	15 1	segments	15	segments	1	1	146
15.5	16.5	16 1	segments	16	segments	1	1	170
16.5	17.5	17 1	segments	17	segments	1	1	194
17.5	18.5	18 1	segments	18	segments	1	1	218
18.5	19.5	19 1	segments	19	segments	1	1	242
19.5	20.5	20 1	segments	20	segments	1	1	290
20.5	21.5	21 1	segments	21	segments	1	1	314
21.5	22.5	22 1	segments	22	segments	1	1	338
22.5	23.5	23 1	segments	23	segments	1	1	362
23.5	24.5	24 1	segments	24	segments	1	1	386
24.5	25.5	25 1	segments	25	segments	1	1	410
0.5	1.5	1 2	segments	1	segments	2	1	12
1.5	2.5	1	segments	2	segments	2	1	1
2.5	3.5	3 2	segments	3	segments	2	1	445
3.5	4.5	4 2	segments	4	segments	2	1	469
4.5	5.5	5 2	segments	5	segments	2	1	493
5.5	6.5	6 2	segments	6	segments	2	1	517
6.5	7.5	7 2	segments	7	segments	2	1	541
7.5	8.5	8 2	segments	8	segments	2	1	565
8.5	9.5	9 2	segments	9	segments	2	1	589
9.5	10.5	10 2	segments	10	segments	2	1	36
10.5	11.5	11 2	segments	11	segments	2	1	60
11.5	12.5	12 2	segments	12	segments	2	1	84
12.5	13.5	13 2	segments	13	segments	2	1	108
13.5	14.5	14 2	segments	14	segments	2	1	132
14.5	15.5	15 2	segments	15	segments	2	1	156
15.5	16.5	16 2	segments	16	segments	2	1	180
16.5	17.5	17 2	segments	17	segments	2	1	204
17.5	18.5	18 2	segments	18	segments	2	1	228
18.5	19.5	19 2	segments	19	segments	2	1	252
19.5	20.5	20 2	segments	20	segments	2	1	301
20.5	21.5	21 2	segments	21	segments	2	1	325
21.5	22.5	22 2	segments	22	segments	2	1	349
22.5	23.5	23 2	segments	23	segments	2	1	373
23.5	24.5	24 2	segments	24	segments	2	1	397
24.5	25.5	25 2	segments	25	segments	2	1	421
0.5	1.5	1 3	segments	1	segments	3	1	19
1.5	2.5	2 3	segments	2	segments	3	1	283
2.5	3.5	1	segments	3	segments	3	1	1
3.5	4.5	4 3	segments	4	segments	3	1	476
4.5	5.5	5 3	segments	5	segments	3	1	500
5.5	6.5	6 3	segments	6	segments	3	1	524
6.5	7.5	7 3	segments	7	segments	3	1	548
7.5	8.5	8 3	segments	8	segments	3	1	572
8.5	9.5	9 3	segments	9	segments	3	1	596
9.5	10.5	10 3	segments	10	segments	3	1	43
10.5	11.5	11 3	segments	11	segments	3	1	67
11.5	12.5	12 3	segments	12	segments	3	1	91
12.5	13.5	13 3	segments	13	segments	3	1	115
13.5	14.5	14 3	segments	14	segments	3	1	139
14.5	15.5	15 3	segments	15	segments	3	1	163
15.5	16.5	16 3	segments	16	segments	3	1	187
16.5	17.5	17 3	segments	17	segments	3	1	211
17.5	18.5	18 3	segments	18	segments	3	1	235
18.5	19.5	19 3	segments	19	segments	3	1	259
19.5	20.5	20 3	segments	20	segments	3	1	307
20.5	21.5	21 3	segments	21	segments	3	1	331
21.5	22.5	22 3	segments	22	segments	3	1	355
22.5	23.5	23 3	segments	23	segments	3	1	379
23.5	24.5	24 3	segments	24	segments	3	1	403
24.5	25.5	25 3	segments	25	segments	3	1	427
0.5	1.5	1 4	segments	1	segments	4	1	20
1.5	2.5	2 4	segments	2	segments	4	1	284
2.5	3.5	3 4	segments	3	segments	4	1	452
3.5	4.5	1	segments	4	segments	4	1	1
4.5	5.5	5 4	segments	5	segments	4	1	501
5.5	6.5	6 4	segments	6	segments	4	1	525
6.5	7.5	7 4	segments	7	segments	4	1	549
7.5	8.5	8 4	segments	8	segments	4	1	573
8.5	9.5	9 4	segments	9	segments	4	1	597
9.5	10.5	10 4	segments	10	segments	4	1	44
10.5	11.5	11 4	segments	11	segments	4	1	68
11.5	12.5	12 4	segments	12	segments	4	1	92
12.5	13.5	13 4	segments	13	segments	4	1	116
13.5	14.5	14 4	segments	14	segments	4	1	140
14.5	15.5	15 4	segments	15	segments	4	1	164
15.5	16.5	16 4	segments	16	segments	4	1	188
16.5	17.5	17 4	segments	17	segments	4	1	212
17.5	18.5	18 4	segments	18	segments	4	1	236
18.5	19.5	19 4	segments	19	segments	4	1	260
19.5	20.5	20 4	segments	20	segments	4	1	308
20.5	21.5	21 4	segments	21	segments	4	1	332
21.5	22.5	22 4	segments	22	segments	4	1	356
22.5	23.5	23 4	segments	23	segments	4	1	380
23.5	24.5	24 4	segments	24	segments	4	1	404
24.5	25.5	25 4	segments	25	segments	4	1	428
0.5	1.5	1 5	segments	1	segments	5	1	21
1.5	2.5	2 5	segments	2	segments	5	1	285
2.5	3.5	3 5	segments	3	segments	5	1	453
3.5	4.5	4 5	segments	4	segments	5	1	477
4.5	5.5	1	segments	5	segments	5	1	1
5.5	6.5	6 5	segments	6	segments	5	1	526
6.5	7.5	7 5	segments	7	segments	5	1	550
7.5	8.5	8 5	segments	8	segments	5	1	574
8.5	9.5	9 5	segments	9	segments	5	1	598
9.5	10.5	10 5	segments	10	segments	5	1	45
10.5	11.5	11 5	segments	11	segments	5	1	69
11.5	12.5	12 5	segments	12	segments	5	1	93
12.5	13.5	13 5	segments	13	segments	5	1	117
13.5	14.5	14 5	segments	14	segments	5	1	141
14.5	15.5	15 5	segments	15	segments	5	1	165
15.5	16.5	16 5	segments	16	segments	5	1	189
16.5	17.5	17 5	segments	17	segments	5	1	213
17.5	18.5	18 5	segments	18	segments	5	1	237
18.5	19.5	19 5	segments	19	segments	5	1	261
19.5	20.5	20 5	segments	20	segments	5	1	309
20.5	21.5	21 5	segments	21	segments	5	1	333
21.5	22.5	22 5	segments	22	segments	5	1	357
22.5	23.5	23 5	segments	23	segments	5	1	381
23.5	24.5	24 5	segments	24	segments	5	1	405
24.5	25.5	25 5	segments	25	segments	5	1	429
