colour	x	y	showSelected1	PANEL
#EE82EE	10	87	minimum	1
#EE82EE	11	87	minimum	1
#EE82EE	3	6	minimum	1
#EE82EE	5	28	minimum	1
#EE82EE	4	22	minimum	1
#EE82EE	4	23	minimum	1
#EE82EE	7	69	minimum	1
#EE82EE	3	7	minimum	1
#EE82EE	16	91	minimum	1
#EE82EE	4	24	minimum	1
#EE82EE	7	70	minimum	1
#EE82EE	18	93	minimum	1
#EE82EE	7	71	minimum	1
#EE82EE	3	8	minimum	1
#EE82EE	4	25	minimum	1
#EE82EE	5	29	minimum	1
#EE82EE	5	30	minimum	1
#EE82EE	3	9	minimum	1
#EE82EE	3	10	minimum	1
#EE82EE	5	31	minimum	1
#EE82EE	5	32	minimum	1
#EE82EE	2	1	minimum	1
#EE82EE	8	74	minimum	1
#EE82EE	5	33	minimum	1
#EE82EE	3	11	minimum	1
#EE82EE	7	72	minimum	1
#EE82EE	3	12	minimum	1
#EE82EE	5	34	minimum	1
#EE82EE	10	86	minimum	1
#EE82EE	5	35	minimum	1
#EE82EE	5	36	minimum	1
#EE82EE	5	37	minimum	1
#EE82EE	5	38	minimum	1
#EE82EE	6	59	minimum	1
#EE82EE	6	60	minimum	1
#EE82EE	5	39	minimum	1
#EE82EE	5	40	minimum	1
#EE82EE	5	41	minimum	1
#EE82EE	17	92	minimum	1
#EE82EE	5	42	minimum	1
#EE82EE	5	43	minimum	1
#EE82EE	5	44	minimum	1
#EE82EE	5	45	minimum	1
#EE82EE	3	13	minimum	1
#EE82EE	24	99	minimum	1
#EE82EE	6	61	minimum	1
#EE82EE	3	14	minimum	1
#EE82EE	2	2	minimum	1
#EE82EE	5	46	minimum	1
#EE82EE	8	75	minimum	1
#EE82EE	2	3	minimum	1
#EE82EE	5	47	minimum	1
#EE82EE	8	76	minimum	1
#EE82EE	22	97	minimum	1
#EE82EE	23	97	minimum	1
#EE82EE	11	88	minimum	1
#EE82EE	6	62	minimum	1
#EE82EE	20	95	minimum	1
#EE82EE	21	95	minimum	1
#EE82EE	22	95	minimum	1
#EE82EE	5	48	minimum	1
#EE82EE	5	49	minimum	1
#EE82EE	3	15	minimum	1
#EE82EE	3	16	minimum	1
#EE82EE	3	17	minimum	1
#EE82EE	6	63	minimum	1
#EE82EE	6	64	minimum	1
#EE82EE	4	26	minimum	1
#EE82EE	6	65	minimum	1
#EE82EE	8	77	minimum	1
#EE82EE	5	50	minimum	1
