group	colour	yend	showSelected1
1	#FC8D62	-0.363019590593257	validation
2	#FC8D62	-0.363019590593257	validation
3	#FC8D62	-0.363019590593257	validation
4	#66C2A5	-0.363019590593257	sous-entraînement
5	#66C2A5	-0.363019590593257	sous-entraînement
6	#FC8D62	-0.363019590593257	validation
7	#FC8D62	-0.363019590593257	validation
8	#FC8D62	-0.363019590593257	validation
9	#66C2A5	-0.363019590593257	sous-entraînement
10	#FC8D62	-0.363019590593257	validation
11	#FC8D62	-0.363019590593257	validation
12	#66C2A5	-0.363019590593257	sous-entraînement
13	#66C2A5	-0.363019590593257	sous-entraînement
14	#FC8D62	-0.363019590593257	validation
15	#66C2A5	-0.363019590593257	sous-entraînement
16	#FC8D62	-0.363019590593257	validation
17	#FC8D62	-0.363019590593257	validation
18	#66C2A5	-0.363019590593257	sous-entraînement
19	#66C2A5	-0.363019590593257	sous-entraînement
20	#66C2A5	-0.363019590593257	sous-entraînement
21	#66C2A5	-0.363019590593257	sous-entraînement
22	#66C2A5	-0.363019590593257	sous-entraînement
23	#FC8D62	-0.363019590593257	validation
24	#66C2A5	-0.363019590593257	sous-entraînement
25	#FC8D62	-0.363019590593257	validation
26	#66C2A5	-0.363019590593257	sous-entraînement
27	#FC8D62	-0.363019590593257	validation
28	#66C2A5	-0.363019590593257	sous-entraînement
29	#66C2A5	-0.363019590593257	sous-entraînement
30	#FC8D62	-0.363019590593257	validation
31	#66C2A5	1.2151172831639	sous-entraînement
32	#FC8D62	1.2151172831639	validation
33	#66C2A5	1.2151172831639	sous-entraînement
34	#66C2A5	1.2151172831639	sous-entraînement
35	#66C2A5	1.2151172831639	sous-entraînement
36	#66C2A5	1.2151172831639	sous-entraînement
37	#FC8D62	1.2151172831639	validation
38	#66C2A5	1.2151172831639	sous-entraînement
39	#66C2A5	1.2151172831639	sous-entraînement
40	#FC8D62	1.2151172831639	validation
41	#66C2A5	1.2151172831639	sous-entraînement
42	#FC8D62	1.2151172831639	validation
43	#FC8D62	1.2151172831639	validation
44	#FC8D62	1.2151172831639	validation
45	#FC8D62	1.2151172831639	validation
46	#66C2A5	1.2151172831639	sous-entraînement
47	#FC8D62	1.2151172831639	validation
48	#FC8D62	1.2151172831639	validation
49	#66C2A5	1.2151172831639	sous-entraînement
50	#FC8D62	1.2151172831639	validation
