fill	x	y	PANEL	group	xmin	xmax	ymin	ymax
#E5E5E5	17	28	1	-1	16.5	17.5	27.5	28.5
#E5E5E5	18	28	1	-1	17.5	18.5	27.5	28.5
#E4E4E4	19	28	1	-1	18.5	19.5	27.5	28.5
#E4E4E4	20	28	1	-1	19.5	20.5	27.5	28.5
#E4E4E4	21	28	1	-1	20.5	21.5	27.5	28.5
#E4E4E4	22	28	1	-1	21.5	22.5	27.5	28.5
#E4E4E4	23	28	1	-1	22.5	23.5	27.5	28.5
#E4E4E4	24	28	1	-1	23.5	24.5	27.5	28.5
#E4E4E4	25	28	1	-1	24.5	25.5	27.5	28.5
#000000	1	22	1	-1	0.5	1.5	21.5	22.5
#B5B5B5	2	22	1	-1	1.5	2.5	21.5	22.5
#F5F5F5	3	22	1	-1	2.5	3.5	21.5	22.5
#FFFFFF	4	22	1	-1	3.5	4.5	21.5	22.5
#F0F0F0	5	22	1	-1	4.5	5.5	21.5	22.5
#F6F6F6	6	22	1	-1	5.5	6.5	21.5	22.5
#F7F7F7	7	22	1	-1	6.5	7.5	21.5	22.5
#E8E8E8	8	22	1	-1	7.5	8.5	21.5	22.5
#E3E3E3	9	22	1	-1	8.5	9.5	21.5	22.5
#E2E2E2	10	22	1	-1	9.5	10.5	21.5	22.5
#E2E2E2	11	22	1	-1	10.5	11.5	21.5	22.5
#E1E1E1	12	22	1	-1	11.5	12.5	21.5	22.5
#E3E3E3	13	22	1	-1	12.5	13.5	21.5	22.5
#E0E0E0	14	22	1	-1	13.5	14.5	21.5	22.5
#E4E4E4	15	22	1	-1	14.5	15.5	21.5	22.5
#E4E4E4	16	22	1	-1	15.5	16.5	21.5	22.5
#E4E4E4	17	22	1	-1	16.5	17.5	21.5	22.5
#E5E5E5	18	22	1	-1	17.5	18.5	21.5	22.5
#E5E5E5	19	22	1	-1	18.5	19.5	21.5	22.5
#E5E5E5	20	22	1	-1	19.5	20.5	21.5	22.5
#E5E5E5	21	22	1	-1	20.5	21.5	21.5	22.5
#E5E5E5	22	22	1	-1	21.5	22.5	21.5	22.5
