fill	x	y	PANEL	group	xmin	xmax	ymin	ymax
#B2B2B2	7	3	1	-1	6.5	7.5	2.5	3.5
#B1B1B1	8	3	1	-1	7.5	8.5	2.5	3.5
#B3B3B3	9	3	1	-1	8.5	9.5	2.5	3.5
#B3B3B3	10	3	1	-1	9.5	10.5	2.5	3.5
#B5B5B5	11	3	1	-1	10.5	11.5	2.5	3.5
#AFAFAF	12	3	1	-1	11.5	12.5	2.5	3.5
#AFAFAF	13	3	1	-1	12.5	13.5	2.5	3.5
#979797	14	3	1	-1	13.5	14.5	2.5	3.5
#979797	15	3	1	-1	14.5	15.5	2.5	3.5
#979797	16	3	1	-1	15.5	16.5	2.5	3.5
#979797	17	3	1	-1	16.5	17.5	2.5	3.5
#989898	18	3	1	-1	17.5	18.5	2.5	3.5
#989898	19	3	1	-1	18.5	19.5	2.5	3.5
#989898	20	3	1	-1	19.5	20.5	2.5	3.5
#989898	21	3	1	-1	20.5	21.5	2.5	3.5
#989898	22	3	1	-1	21.5	22.5	2.5	3.5
#989898	23	3	1	-1	22.5	23.5	2.5	3.5
#989898	24	3	1	-1	23.5	24.5	2.5	3.5
#999999	25	3	1	-1	24.5	25.5	2.5	3.5
#000000	1	47	1	-1	0.5	1.5	46.5	47.5
#5C5C5C	2	47	1	-1	1.5	2.5	46.5	47.5
#D4D4D4	3	47	1	-1	2.5	3.5	46.5	47.5
#F1F1F1	4	47	1	-1	3.5	4.5	46.5	47.5
#FFFFFF	5	47	1	-1	4.5	5.5	46.5	47.5
#EAEAEA	6	47	1	-1	5.5	6.5	46.5	47.5
#EAEAEA	7	47	1	-1	6.5	7.5	46.5	47.5
#EAEAEA	8	47	1	-1	7.5	8.5	46.5	47.5
#E9E9E9	9	47	1	-1	8.5	9.5	46.5	47.5
#E7E7E7	10	47	1	-1	9.5	10.5	46.5	47.5
#E6E6E6	11	47	1	-1	10.5	11.5	46.5	47.5
#E0E0E0	12	47	1	-1	11.5	12.5	46.5	47.5
#E1E1E1	13	47	1	-1	12.5	13.5	46.5	47.5
#DBDBDB	14	47	1	-1	13.5	14.5	46.5	47.5
#DADADA	15	47	1	-1	14.5	15.5	46.5	47.5
#DADADA	16	47	1	-1	15.5	16.5	46.5	47.5
#DADADA	17	47	1	-1	16.5	17.5	46.5	47.5
#DADADA	18	47	1	-1	17.5	18.5	46.5	47.5
#DADADA	19	47	1	-1	18.5	19.5	46.5	47.5
#DADADA	20	47	1	-1	19.5	20.5	46.5	47.5
#DADADA	21	47	1	-1	20.5	21.5	46.5	47.5
#DBDBDB	22	47	1	-1	21.5	22.5	46.5	47.5
#DBDBDB	23	47	1	-1	22.5	23.5	46.5	47.5
#DBDBDB	24	47	1	-1	23.5	24.5	46.5	47.5
#DBDBDB	25	47	1	-1	24.5	25.5	46.5	47.5
#000000	1	76	1	-1	0.5	1.5	75.5	76.5
#6A6A6A	2	76	1	-1	1.5	2.5	75.5	76.5
#ADADAD	3	76	1	-1	2.5	3.5	75.5	76.5
#ECECEC	4	76	1	-1	3.5	4.5	75.5	76.5
#FFFFFF	5	76	1	-1	4.5	5.5	75.5	76.5
#FEFEFE	6	76	1	-1	5.5	6.5	75.5	76.5
#FFFFFF	7	76	1	-1	6.5	7.5	75.5	76.5
#FFFFFF	8	76	1	-1	7.5	8.5	75.5	76.5
#F3F3F3	9	76	1	-1	8.5	9.5	75.5	76.5
#EAEAEA	10	76	1	-1	9.5	10.5	75.5	76.5
#EAEAEA	11	76	1	-1	10.5	11.5	75.5	76.5
#EAEAEA	12	76	1	-1	11.5	12.5	75.5	76.5
#EAEAEA	13	76	1	-1	12.5	13.5	75.5	76.5
#EAEAEA	14	76	1	-1	13.5	14.5	75.5	76.5
#E9E9E9	15	76	1	-1	14.5	15.5	75.5	76.5
#E9E9E9	16	76	1	-1	15.5	16.5	75.5	76.5
#E9E9E9	17	76	1	-1	16.5	17.5	75.5	76.5
#E9E9E9	18	76	1	-1	17.5	18.5	75.5	76.5
#E9E9E9	19	76	1	-1	18.5	19.5	75.5	76.5
#E9E9E9	20	76	1	-1	19.5	20.5	75.5	76.5
#E9E9E9	21	76	1	-1	20.5	21.5	75.5	76.5
#E9E9E9	22	76	1	-1	21.5	22.5	75.5	76.5
#E9E9E9	23	76	1	-1	22.5	23.5	75.5	76.5
#E9E9E9	24	76	1	-1	23.5	24.5	75.5	76.5
#E9E9E9	25	76	1	-1	24.5	25.5	75.5	76.5
#000000	1	97	1	-1	0.5	1.5	96.5	97.5
#7A7A7A	2	97	1	-1	1.5	2.5	96.5	97.5
#EAEAEA	3	97	1	-1	2.5	3.5	96.5	97.5
#C5C5C5	4	97	1	-1	3.5	4.5	96.5	97.5
#FAFAFA	5	97	1	-1	4.5	5.5	96.5	97.5
#F8F8F8	6	97	1	-1	5.5	6.5	96.5	97.5
#F7F7F7	7	97	1	-1	6.5	7.5	96.5	97.5
#EFEFEF	8	97	1	-1	7.5	8.5	96.5	97.5
#F6F6F6	9	97	1	-1	8.5	9.5	96.5	97.5
#F5F5F5	10	97	1	-1	9.5	10.5	96.5	97.5
#F6F6F6	11	97	1	-1	10.5	11.5	96.5	97.5
#F5F5F5	12	97	1	-1	11.5	12.5	96.5	97.5
#F0F0F0	13	97	1	-1	12.5	13.5	96.5	97.5
#FFFFFF	14	97	1	-1	13.5	14.5	96.5	97.5
#FFFFFF	15	97	1	-1	14.5	15.5	96.5	97.5
#FFFFFF	16	97	1	-1	15.5	16.5	96.5	97.5
#FFFFFF	17	97	1	-1	16.5	17.5	96.5	97.5
#FFFFFF	18	97	1	-1	17.5	18.5	96.5	97.5
#FFFFFF	19	97	1	-1	18.5	19.5	96.5	97.5
#FFFFFF	20	97	1	-1	19.5	20.5	96.5	97.5
#FFFFFF	21	97	1	-1	20.5	21.5	96.5	97.5
#FFFFFF	22	97	1	-1	21.5	22.5	96.5	97.5
#FFFFFF	23	97	1	-1	22.5	23.5	96.5	97.5
#FFFFFF	24	97	1	-1	23.5	24.5	96.5	97.5
#FFFFFF	25	97	1	-1	24.5	25.5	96.5	97.5
#000000	1	88	1	-1	0.5	1.5	87.5	88.5
#C2C2C2	2	88	1	-1	1.5	2.5	87.5	88.5
#838383	3	88	1	-1	2.5	3.5	87.5	88.5
#B7B7B7	4	88	1	-1	3.5	4.5	87.5	88.5
#FCFCFC	5	88	1	-1	4.5	5.5	87.5	88.5
#FBFBFB	6	88	1	-1	5.5	6.5	87.5	88.5
#FCFCFC	7	88	1	-1	6.5	7.5	87.5	88.5
#FAFAFA	8	88	1	-1	7.5	8.5	87.5	88.5
#FAFAFA	9	88	1	-1	8.5	9.5	87.5	88.5
#F8F8F8	10	88	1	-1	9.5	10.5	87.5	88.5
#FFFFFF	11	88	1	-1	10.5	11.5	87.5	88.5
#F1F1F1	12	88	1	-1	11.5	12.5	87.5	88.5
#F2F2F2	13	88	1	-1	12.5	13.5	87.5	88.5
#F0F0F0	14	88	1	-1	13.5	14.5	87.5	88.5
#F0F0F0	15	88	1	-1	14.5	15.5	87.5	88.5
#F0F0F0	16	88	1	-1	15.5	16.5	87.5	88.5
#EFEFEF	17	88	1	-1	16.5	17.5	87.5	88.5
#EFEFEF	18	88	1	-1	17.5	18.5	87.5	88.5
#EFEFEF	19	88	1	-1	18.5	19.5	87.5	88.5
#F7F7F7	20	88	1	-1	19.5	20.5	87.5	88.5
#F7F7F7	21	88	1	-1	20.5	21.5	87.5	88.5
#F7F7F7	22	88	1	-1	21.5	22.5	87.5	88.5
#F7F7F7	23	88	1	-1	22.5	23.5	87.5	88.5
#F7F7F7	24	88	1	-1	23.5	24.5	87.5	88.5
#F7F7F7	25	88	1	-1	24.5	25.5	87.5	88.5
#000000	1	62	1	-1	0.5	1.5	61.5	62.5
#575757	2	62	1	-1	1.5	2.5	61.5	62.5
#787878	3	62	1	-1	2.5	3.5	61.5	62.5
#C8C8C8	4	62	1	-1	3.5	4.5	61.5	62.5
#FBFBFB	5	62	1	-1	4.5	5.5	61.5	62.5
#FFFFFF	6	62	1	-1	5.5	6.5	61.5	62.5
#EDEDED	7	62	1	-1	6.5	7.5	61.5	62.5
#EDEDED	8	62	1	-1	7.5	8.5	61.5	62.5
#FCFCFC	9	62	1	-1	8.5	9.5	61.5	62.5
#FCFCFC	10	62	1	-1	9.5	10.5	61.5	62.5
#FCFCFC	11	62	1	-1	10.5	11.5	61.5	62.5
#FCFCFC	12	62	1	-1	11.5	12.5	61.5	62.5
#FBFBFB	13	62	1	-1	12.5	13.5	61.5	62.5
#FEFEFE	14	62	1	-1	13.5	14.5	61.5	62.5
#F9F9F9	15	62	1	-1	14.5	15.5	61.5	62.5
#F9F9F9	16	62	1	-1	15.5	16.5	61.5	62.5
#F9F9F9	17	62	1	-1	16.5	17.5	61.5	62.5
#F9F9F9	18	62	1	-1	17.5	18.5	61.5	62.5
#FAFAFA	19	62	1	-1	18.5	19.5	61.5	62.5
#FAFAFA	20	62	1	-1	19.5	20.5	61.5	62.5
#FAFAFA	21	62	1	-1	20.5	21.5	61.5	62.5
#FAFAFA	22	62	1	-1	21.5	22.5	61.5	62.5
#FAFAFA	23	62	1	-1	22.5	23.5	61.5	62.5
#FAFAFA	24	62	1	-1	23.5	24.5	61.5	62.5
#FBFBFB	25	62	1	-1	24.5	25.5	61.5	62.5
#000000	1	95	1	-1	0.5	1.5	94.5	95.5
#828282	2	95	1	-1	1.5	2.5	94.5	95.5
#F0F0F0	3	95	1	-1	2.5	3.5	94.5	95.5
#CFCFCF	4	95	1	-1	3.5	4.5	94.5	95.5
#FBFBFB	5	95	1	-1	4.5	5.5	94.5	95.5
#FBFBFB	6	95	1	-1	5.5	6.5	94.5	95.5
#FBFBFB	7	95	1	-1	6.5	7.5	94.5	95.5
#FBFBFB	8	95	1	-1	7.5	8.5	94.5	95.5
#FAFAFA	9	95	1	-1	8.5	9.5	94.5	95.5
#F9F9F9	10	95	1	-1	9.5	10.5	94.5	95.5
#F8F8F8	11	95	1	-1	10.5	11.5	94.5	95.5
#F8F8F8	12	95	1	-1	11.5	12.5	94.5	95.5
#F9F9F9	13	95	1	-1	12.5	13.5	94.5	95.5
#FBFBFB	14	95	1	-1	13.5	14.5	94.5	95.5
#FAFAFA	15	95	1	-1	14.5	15.5	94.5	95.5
#FAFAFA	16	95	1	-1	15.5	16.5	94.5	95.5
#FAFAFA	17	95	1	-1	16.5	17.5	94.5	95.5
#F7F7F7	18	95	1	-1	17.5	18.5	94.5	95.5
#FFFFFF	19	95	1	-1	18.5	19.5	94.5	95.5
#FFFFFF	20	95	1	-1	19.5	20.5	94.5	95.5
#FFFFFF	21	95	1	-1	20.5	21.5	94.5	95.5
#FFFFFF	22	95	1	-1	21.5	22.5	94.5	95.5
#FFFFFF	23	95	1	-1	22.5	23.5	94.5	95.5
#FFFFFF	24	95	1	-1	23.5	24.5	94.5	95.5
#FFFFFF	25	95	1	-1	24.5	25.5	94.5	95.5
#000000	1	48	1	-1	0.5	1.5	47.5	48.5
#7D7D7D	2	48	1	-1	1.5	2.5	47.5	48.5
#C0C0C0	3	48	1	-1	2.5	3.5	47.5	48.5
#EAEAEA	4	48	1	-1	3.5	4.5	47.5	48.5
#FFFFFF	5	48	1	-1	4.5	5.5	47.5	48.5
#FEFEFE	6	48	1	-1	5.5	6.5	47.5	48.5
#FDFDFD	7	48	1	-1	6.5	7.5	47.5	48.5
#FCFCFC	8	48	1	-1	7.5	8.5	47.5	48.5
#FAFAFA	9	48	1	-1	8.5	9.5	47.5	48.5
#EBEBEB	10	48	1	-1	9.5	10.5	47.5	48.5
#EAEAEA	11	48	1	-1	10.5	11.5	47.5	48.5
#EBEBEB	12	48	1	-1	11.5	12.5	47.5	48.5
#ECECEC	13	48	1	-1	12.5	13.5	47.5	48.5
#ECECEC	14	48	1	-1	13.5	14.5	47.5	48.5
#EFEFEF	15	48	1	-1	14.5	15.5	47.5	48.5
#E9E9E9	16	48	1	-1	15.5	16.5	47.5	48.5
#E9E9E9	17	48	1	-1	16.5	17.5	47.5	48.5
#E9E9E9	18	48	1	-1	17.5	18.5	47.5	48.5
#E9E9E9	19	48	1	-1	18.5	19.5	47.5	48.5
#E9E9E9	20	48	1	-1	19.5	20.5	47.5	48.5
#E9E9E9	21	48	1	-1	20.5	21.5	47.5	48.5
#E9E9E9	22	48	1	-1	21.5	22.5	47.5	48.5
#E9E9E9	23	48	1	-1	22.5	23.5	47.5	48.5
#E9E9E9	24	48	1	-1	23.5	24.5	47.5	48.5
#E9E9E9	25	48	1	-1	24.5	25.5	47.5	48.5
#000000	1	49	1	-1	0.5	1.5	48.5	49.5
#8E8E8E	2	49	1	-1	1.5	2.5	48.5	49.5
#BDBDBD	3	49	1	-1	2.5	3.5	48.5	49.5
#E5E5E5	4	49	1	-1	3.5	4.5	48.5	49.5
#FFFFFF	5	49	1	-1	4.5	5.5	48.5	49.5
#FFFFFF	6	49	1	-1	5.5	6.5	48.5	49.5
#F6F6F6	7	49	1	-1	6.5	7.5	48.5	49.5
#F6F6F6	8	49	1	-1	7.5	8.5	48.5	49.5
#F6F6F6	9	49	1	-1	8.5	9.5	48.5	49.5
#F4F4F4	10	49	1	-1	9.5	10.5	48.5	49.5
#F4F4F4	11	49	1	-1	10.5	11.5	48.5	49.5
#F3F3F3	12	49	1	-1	11.5	12.5	48.5	49.5
#F4F4F4	13	49	1	-1	12.5	13.5	48.5	49.5
#ECECEC	14	49	1	-1	13.5	14.5	48.5	49.5
#ECECEC	15	49	1	-1	14.5	15.5	48.5	49.5
#ECECEC	16	49	1	-1	15.5	16.5	48.5	49.5
#EBEBEB	17	49	1	-1	16.5	17.5	48.5	49.5
#EBEBEB	18	49	1	-1	17.5	18.5	48.5	49.5
#EBEBEB	19	49	1	-1	18.5	19.5	48.5	49.5
#EBEBEB	20	49	1	-1	19.5	20.5	48.5	49.5
#EBEBEB	21	49	1	-1	20.5	21.5	48.5	49.5
#EFEFEF	22	49	1	-1	21.5	22.5	48.5	49.5
#EFEFEF	23	49	1	-1	22.5	23.5	48.5	49.5
#EFEFEF	24	49	1	-1	23.5	24.5	48.5	49.5
#EFEFEF	25	49	1	-1	24.5	25.5	48.5	49.5
#000000	1	15	1	-1	0.5	1.5	14.5	15.5
#ACACAC	2	15	1	-1	1.5	2.5	14.5	15.5
#FFFFFF	3	15	1	-1	2.5	3.5	14.5	15.5
#E5E5E5	4	15	1	-1	3.5	4.5	14.5	15.5
#CACACA	5	15	1	-1	4.5	5.5	14.5	15.5
#CECECE	6	15	1	-1	5.5	6.5	14.5	15.5
#CDCDCD	7	15	1	-1	6.5	7.5	14.5	15.5
#CACACA	8	15	1	-1	7.5	8.5	14.5	15.5
#CBCBCB	9	15	1	-1	8.5	9.5	14.5	15.5
#C8C8C8	10	15	1	-1	9.5	10.5	14.5	15.5
#C6C6C6	11	15	1	-1	10.5	11.5	14.5	15.5
#C8C8C8	12	15	1	-1	11.5	12.5	14.5	15.5
#C8C8C8	13	15	1	-1	12.5	13.5	14.5	15.5
#C9C9C9	14	15	1	-1	13.5	14.5	14.5	15.5
#C9C9C9	15	15	1	-1	14.5	15.5	14.5	15.5
#C9C9C9	16	15	1	-1	15.5	16.5	14.5	15.5
#C6C6C6	17	15	1	-1	16.5	17.5	14.5	15.5
#C4C4C4	18	15	1	-1	17.5	18.5	14.5	15.5
#CACACA	19	15	1	-1	18.5	19.5	14.5	15.5
#CCCCCC	20	15	1	-1	19.5	20.5	14.5	15.5
#CCCCCC	21	15	1	-1	20.5	21.5	14.5	15.5
#CCCCCC	22	15	1	-1	21.5	22.5	14.5	15.5
#CCCCCC	23	15	1	-1	22.5	23.5	14.5	15.5
#CCCCCC	24	15	1	-1	23.5	24.5	14.5	15.5
#CCCCCC	25	15	1	-1	24.5	25.5	14.5	15.5
#000000	1	16	1	-1	0.5	1.5	15.5	16.5
#C3C3C3	2	16	1	-1	1.5	2.5	15.5	16.5
#FFFFFF	3	16	1	-1	2.5	3.5	15.5	16.5
#B2B2B2	4	16	1	-1	3.5	4.5	15.5	16.5
#E8E8E8	5	16	1	-1	4.5	5.5	15.5	16.5
#E4E4E4	6	16	1	-1	5.5	6.5	15.5	16.5
#EBEBEB	7	16	1	-1	6.5	7.5	15.5	16.5
#EEEEEE	8	16	1	-1	7.5	8.5	15.5	16.5
#E9E9E9	9	16	1	-1	8.5	9.5	15.5	16.5
#F9F9F9	10	16	1	-1	9.5	10.5	15.5	16.5
#F8F8F8	11	16	1	-1	10.5	11.5	15.5	16.5
#F8F8F8	12	16	1	-1	11.5	12.5	15.5	16.5
#F8F8F8	13	16	1	-1	12.5	13.5	15.5	16.5
#F7F7F7	14	16	1	-1	13.5	14.5	15.5	16.5
#F3F3F3	15	16	1	-1	14.5	15.5	15.5	16.5
#F3F3F3	16	16	1	-1	15.5	16.5	15.5	16.5
#F4F4F4	17	16	1	-1	16.5	17.5	15.5	16.5
#F4F4F4	18	16	1	-1	17.5	18.5	15.5	16.5
#F4F4F4	19	16	1	-1	18.5	19.5	15.5	16.5
#F4F4F4	20	16	1	-1	19.5	20.5	15.5	16.5
#F3F3F3	21	16	1	-1	20.5	21.5	15.5	16.5
#F4F4F4	22	16	1	-1	21.5	22.5	15.5	16.5
#F5F5F5	23	16	1	-1	22.5	23.5	15.5	16.5
#F5F5F5	24	16	1	-1	23.5	24.5	15.5	16.5
#F5F5F5	25	16	1	-1	24.5	25.5	15.5	16.5
#000000	1	17	1	-1	0.5	1.5	16.5	17.5
#979797	2	17	1	-1	1.5	2.5	16.5	17.5
#FFFFFF	3	17	1	-1	2.5	3.5	16.5	17.5
#999999	4	17	1	-1	3.5	4.5	16.5	17.5
#C5C5C5	5	17	1	-1	4.5	5.5	16.5	17.5
#C4C4C4	6	17	1	-1	5.5	6.5	16.5	17.5
#ADADAD	7	17	1	-1	6.5	7.5	16.5	17.5
#ADADAD	8	17	1	-1	7.5	8.5	16.5	17.5
#ADADAD	9	17	1	-1	8.5	9.5	16.5	17.5
#ADADAD	10	17	1	-1	9.5	10.5	16.5	17.5
#ACACAC	11	17	1	-1	10.5	11.5	16.5	17.5
#ACACAC	12	17	1	-1	11.5	12.5	16.5	17.5
#BCBCBC	13	17	1	-1	12.5	13.5	16.5	17.5
#BBBBBB	14	17	1	-1	13.5	14.5	16.5	17.5
#BBBBBB	15	17	1	-1	14.5	15.5	16.5	17.5
#BBBBBB	16	17	1	-1	15.5	16.5	16.5	17.5
#BBBBBB	17	17	1	-1	16.5	17.5	16.5	17.5
#BBBBBB	18	17	1	-1	17.5	18.5	16.5	17.5
#BBBBBB	19	17	1	-1	18.5	19.5	16.5	17.5
#BABABA	20	17	1	-1	19.5	20.5	16.5	17.5
#BABABA	21	17	1	-1	20.5	21.5	16.5	17.5
#BBBBBB	22	17	1	-1	21.5	22.5	16.5	17.5
#BBBBBB	23	17	1	-1	22.5	23.5	16.5	17.5
#BBBBBB	24	17	1	-1	23.5	24.5	16.5	17.5
#BBBBBB	25	17	1	-1	24.5	25.5	16.5	17.5
#000000	1	63	1	-1	0.5	1.5	62.5	63.5
#3E3E3E	2	63	1	-1	1.5	2.5	62.5	63.5
#797979	3	63	1	-1	2.5	3.5	62.5	63.5
#949494	4	63	1	-1	3.5	4.5	62.5	63.5
#F2F2F2	5	63	1	-1	4.5	5.5	62.5	63.5
#FFFFFF	6	63	1	-1	5.5	6.5	62.5	63.5
#FDFDFD	7	63	1	-1	6.5	7.5	62.5	63.5
#F9F9F9	8	63	1	-1	7.5	8.5	62.5	63.5
#F7F7F7	9	63	1	-1	8.5	9.5	62.5	63.5
#F5F5F5	10	63	1	-1	9.5	10.5	62.5	63.5
#F3F3F3	11	63	1	-1	10.5	11.5	62.5	63.5
#F3F3F3	12	63	1	-1	11.5	12.5	62.5	63.5
#F4F4F4	13	63	1	-1	12.5	13.5	62.5	63.5
#F4F4F4	14	63	1	-1	13.5	14.5	62.5	63.5
#F4F4F4	15	63	1	-1	14.5	15.5	62.5	63.5
#F5F5F5	16	63	1	-1	15.5	16.5	62.5	63.5
#F3F3F3	17	63	1	-1	16.5	17.5	62.5	63.5
#F7F7F7	18	63	1	-1	17.5	18.5	62.5	63.5
#F8F8F8	19	63	1	-1	18.5	19.5	62.5	63.5
#F8F8F8	20	63	1	-1	19.5	20.5	62.5	63.5
#F8F8F8	21	63	1	-1	20.5	21.5	62.5	63.5
#F8F8F8	22	63	1	-1	21.5	22.5	62.5	63.5
#F8F8F8	23	63	1	-1	22.5	23.5	62.5	63.5
#F9F9F9	24	63	1	-1	23.5	24.5	62.5	63.5
#F9F9F9	25	63	1	-1	24.5	25.5	62.5	63.5
#000000	1	64	1	-1	0.5	1.5	63.5	64.5
#626262	2	64	1	-1	1.5	2.5	63.5	64.5
#959595	3	64	1	-1	2.5	3.5	63.5	64.5
#CDCDCD	4	64	1	-1	3.5	4.5	63.5	64.5
#FCFCFC	5	64	1	-1	4.5	5.5	63.5	64.5
#FFFFFF	6	64	1	-1	5.5	6.5	63.5	64.5
#FFFFFF	7	64	1	-1	6.5	7.5	63.5	64.5
#FFFFFF	8	64	1	-1	7.5	8.5	63.5	64.5
#F2F2F2	9	64	1	-1	8.5	9.5	63.5	64.5
#F2F2F2	10	64	1	-1	9.5	10.5	63.5	64.5
#F2F2F2	11	64	1	-1	10.5	11.5	63.5	64.5
#F2F2F2	12	64	1	-1	11.5	12.5	63.5	64.5
#F1F1F1	13	64	1	-1	12.5	13.5	63.5	64.5
#F4F4F4	14	64	1	-1	13.5	14.5	63.5	64.5
#F5F5F5	15	64	1	-1	14.5	15.5	63.5	64.5
#F5F5F5	16	64	1	-1	15.5	16.5	63.5	64.5
#F5F5F5	17	64	1	-1	16.5	17.5	63.5	64.5
#F5F5F5	18	64	1	-1	17.5	18.5	63.5	64.5
#F6F6F6	19	64	1	-1	18.5	19.5	63.5	64.5
#F6F6F6	20	64	1	-1	19.5	20.5	63.5	64.5
#F6F6F6	21	64	1	-1	20.5	21.5	63.5	64.5
#F6F6F6	22	64	1	-1	21.5	22.5	63.5	64.5
#F6F6F6	23	64	1	-1	22.5	23.5	63.5	64.5
#F6F6F6	24	64	1	-1	23.5	24.5	63.5	64.5
#F6F6F6	25	64	1	-1	24.5	25.5	63.5	64.5
#000000	1	26	1	-1	0.5	1.5	25.5	26.5
#5B5B5B	2	26	1	-1	1.5	2.5	25.5	26.5
#BABABA	3	26	1	-1	2.5	3.5	25.5	26.5
#FFFFFF	4	26	1	-1	3.5	4.5	25.5	26.5
#DBDBDB	5	26	1	-1	4.5	5.5	25.5	26.5
#D9D9D9	6	26	1	-1	5.5	6.5	25.5	26.5
#DEDEDE	7	26	1	-1	6.5	7.5	25.5	26.5
#DADADA	8	26	1	-1	7.5	8.5	25.5	26.5
#D9D9D9	9	26	1	-1	8.5	9.5	25.5	26.5
#DADADA	10	26	1	-1	9.5	10.5	25.5	26.5
#D9D9D9	11	26	1	-1	10.5	11.5	25.5	26.5
#D8D8D8	12	26	1	-1	11.5	12.5	25.5	26.5
#DADADA	13	26	1	-1	12.5	13.5	25.5	26.5
#D0D0D0	14	26	1	-1	13.5	14.5	25.5	26.5
#D0D0D0	15	26	1	-1	14.5	15.5	25.5	26.5
#CFCFCF	16	26	1	-1	15.5	16.5	25.5	26.5
#CECECE	17	26	1	-1	16.5	17.5	25.5	26.5
#CECECE	18	26	1	-1	17.5	18.5	25.5	26.5
#CECECE	19	26	1	-1	18.5	19.5	25.5	26.5
#CECECE	20	26	1	-1	19.5	20.5	25.5	26.5
#CFCFCF	21	26	1	-1	20.5	21.5	25.5	26.5
#CFCFCF	22	26	1	-1	21.5	22.5	25.5	26.5
#CFCFCF	23	26	1	-1	22.5	23.5	25.5	26.5
#CFCFCF	24	26	1	-1	23.5	24.5	25.5	26.5
#CFCFCF	25	26	1	-1	24.5	25.5	25.5	26.5
#000000	1	65	1	-1	0.5	1.5	64.5	65.5
#404040	2	65	1	-1	1.5	2.5	64.5	65.5
#909090	3	65	1	-1	2.5	3.5	64.5	65.5
#999999	4	65	1	-1	3.5	4.5	64.5	65.5
#FFFFFF	5	65	1	-1	4.5	5.5	64.5	65.5
#FFFFFF	6	65	1	-1	5.5	6.5	64.5	65.5
#F6F6F6	7	65	1	-1	6.5	7.5	64.5	65.5
#F4F4F4	8	65	1	-1	7.5	8.5	64.5	65.5
#F5F5F5	9	65	1	-1	8.5	9.5	64.5	65.5
#E1E1E1	10	65	1	-1	9.5	10.5	64.5	65.5
#E0E0E0	11	65	1	-1	10.5	11.5	64.5	65.5
#E0E0E0	12	65	1	-1	11.5	12.5	64.5	65.5
#E0E0E0	13	65	1	-1	12.5	13.5	64.5	65.5
#E0E0E0	14	65	1	-1	13.5	14.5	64.5	65.5
#E1E1E1	15	65	1	-1	14.5	15.5	64.5	65.5
#E1E1E1	16	65	1	-1	15.5	16.5	64.5	65.5
#E3E3E3	17	65	1	-1	16.5	17.5	64.5	65.5
#E3E3E3	18	65	1	-1	17.5	18.5	64.5	65.5
#E4E4E4	19	65	1	-1	18.5	19.5	64.5	65.5
#E4E4E4	20	65	1	-1	19.5	20.5	64.5	65.5
#E4E4E4	21	65	1	-1	20.5	21.5	64.5	65.5
#E4E4E4	22	65	1	-1	21.5	22.5	64.5	65.5
#E5E5E5	23	65	1	-1	22.5	23.5	64.5	65.5
#E5E5E5	24	65	1	-1	23.5	24.5	64.5	65.5
#E5E5E5	25	65	1	-1	24.5	25.5	64.5	65.5
#000000	1	77	1	-1	0.5	1.5	76.5	77.5
#343434	2	77	1	-1	1.5	2.5	76.5	77.5
#626262	3	77	1	-1	2.5	3.5	76.5	77.5
#656565	4	77	1	-1	3.5	4.5	76.5	77.5
#FEFEFE	5	77	1	-1	4.5	5.5	76.5	77.5
#F9F9F9	6	77	1	-1	5.5	6.5	76.5	77.5
#F3F3F3	7	77	1	-1	6.5	7.5	76.5	77.5
#FFFFFF	8	77	1	-1	7.5	8.5	76.5	77.5
#EEEEEE	9	77	1	-1	8.5	9.5	76.5	77.5
#DDDDDD	10	77	1	-1	9.5	10.5	76.5	77.5
#DBDBDB	11	77	1	-1	10.5	11.5	76.5	77.5
#DBDBDB	12	77	1	-1	11.5	12.5	76.5	77.5
#D9D9D9	13	77	1	-1	12.5	13.5	76.5	77.5
#D8D8D8	14	77	1	-1	13.5	14.5	76.5	77.5
#D8D8D8	15	77	1	-1	14.5	15.5	76.5	77.5
#D8D8D8	16	77	1	-1	15.5	16.5	76.5	77.5
#D5D5D5	17	77	1	-1	16.5	17.5	76.5	77.5
#D5D5D5	18	77	1	-1	17.5	18.5	76.5	77.5
#D6D6D6	19	77	1	-1	18.5	19.5	76.5	77.5
#D5D5D5	20	77	1	-1	19.5	20.5	76.5	77.5
#D5D5D5	21	77	1	-1	20.5	21.5	76.5	77.5
#D5D5D5	22	77	1	-1	21.5	22.5	76.5	77.5
#D5D5D5	23	77	1	-1	22.5	23.5	76.5	77.5
#D5D5D5	24	77	1	-1	23.5	24.5	76.5	77.5
#D5D5D5	25	77	1	-1	24.5	25.5	76.5	77.5
#000000	1	50	1	-1	0.5	1.5	49.5	50.5
#333333	2	50	1	-1	1.5	2.5	49.5	50.5
#555555	3	50	1	-1	2.5	3.5	49.5	50.5
#6E6E6E	4	50	1	-1	3.5	4.5	49.5	50.5
#FFFFFF	5	50	1	-1	4.5	5.5	49.5	50.5
#F3F3F3	6	50	1	-1	5.5	6.5	49.5	50.5
#F1F1F1	7	50	1	-1	6.5	7.5	49.5	50.5
#E7E7E7	8	50	1	-1	7.5	8.5	49.5	50.5
#DDDDDD	9	50	1	-1	8.5	9.5	49.5	50.5
#DEDEDE	10	50	1	-1	9.5	10.5	49.5	50.5
#DEDEDE	11	50	1	-1	10.5	11.5	49.5	50.5
