colour	y	x	group	key	showSelected1	showSelected2	PANEL
#66C2A5	1.23689919599265	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 16	1
#66C2A5	1.31115271029496	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 54	1
#66C2A5	1.38006953457784	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 75	1
#66C2A5	1.13452452499163	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 93	1
#66C2A5	1.35293406067475	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 55	1
#66C2A5	1.15852776425197	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 56	1
#66C2A5	1.37719193325195	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 57	1
#66C2A5	1.13250022758697	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 58	1
#66C2A5	1.29789578471595	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 17	1
#66C2A5	1.24504426284319	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 82	1
#66C2A5	1.25262804321021	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 59	1
#66C2A5	1.29755624657827	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 90	1
#66C2A5	1.3628714367892	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 18	1
#66C2A5	1.14811839629481	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 2	1
#66C2A5	1.37443974259325	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 99	1
#66C2A5	1.14024247862402	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 60	1
#66C2A5	1.25553340472904	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 61	1
#66C2A5	1.29535569630884	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 19	1
#66C2A5	1.07477598177262	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 62	1
#66C2A5	1.400501707833	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 63	1
#66C2A5	0.97817976787695	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 94	1
#66C2A5	1.37674330275876	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 76	1
#66C2A5	1.26945294496408	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 3	1
#66C2A5	1.28173515403535	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 20	1
#66C2A5	1.24553431145374	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 64	1
#66C2A5	1.28698586647254	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 21	1
#66C2A5	1.29747514104743	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 86	1
#66C2A5	1.24913305798154	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 22	1
#66C2A5	1.24862923914215	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 65	1
#66C2A5	1.29676173976467	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 23	1
#66C2A5	1.39309283703084	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 87	1
#66C2A5	1.07019557571218	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 24	1
#66C2A5	1.32340949060515	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 83	1
#66C2A5	1.18043649727616	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 66	1
#66C2A5	1.22470634795898	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 67	1
#66C2A5	1.30756857622167	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 84	1
#66C2A5	1.14268562043333	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 25	1
#66C2A5	1.37614552570542	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 68	1
#66C2A5	1.30135466360437	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 69	1
#66C2A5	1.17665724752392	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 26	1
#66C2A5	1.13081956051343	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 100	1
#66C2A5	1.38413793465016	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 88	1
#66C2A5	1.2999323052299	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 70	1
#66C2A5	1.24504617980616	1	1	sous-entraînement	sous-entraînement	VC à 2 blocs 27	1
#66C2A5	1.14383259090077	1	1	sous-entraînement	sous-entraînement	50% validation 87	1
#66C2A5	1.30241376362749	1	1	sous-entraînement	sous-entraînement	50% validation 6	1
#66C2A5	1.35081513605963	1	1	sous-entraînement	sous-entraînement	50% validation 28	1
#66C2A5	1.2563838560124	1	1	sous-entraînement	sous-entraînement	50% validation 22	1
#66C2A5	1.3112667553128	1	1	sous-entraînement	sous-entraînement	50% validation 23	1
#66C2A5	1.22226173131895	1	1	sous-entraînement	sous-entraînement	50% validation 69	1
#66C2A5	1.28109775447337	1	1	sous-entraînement	sous-entraînement	50% validation 7	1
#66C2A5	1.25640051859668	1	1	sous-entraînement	sous-entraînement	50% validation 91	1
#66C2A5	1.19791868041837	1	1	sous-entraînement	sous-entraînement	50% validation 24	1
#66C2A5	1.32622154234454	1	1	sous-entraînement	sous-entraînement	50% validation 70	1
#66C2A5	1.29437655214473	1	1	sous-entraînement	sous-entraînement	50% validation 93	1
#66C2A5	1.29442192189331	1	1	sous-entraînement	sous-entraînement	50% validation 71	1
#66C2A5	0.953052945936014	1	1	sous-entraînement	sous-entraînement	50% validation 8	1
#66C2A5	1.32938875763884	1	1	sous-entraînement	sous-entraînement	50% validation 25	1
#66C2A5	1.23523949341253	1	1	sous-entraînement	sous-entraînement	50% validation 29	1
#66C2A5	1.3086377487537	1	1	sous-entraînement	sous-entraînement	50% validation 30	1
#66C2A5	1.18536377146084	1	1	sous-entraînement	sous-entraînement	50% validation 9	1
#66C2A5	1.26238156627015	1	1	sous-entraînement	sous-entraînement	50% validation 10	1
#66C2A5	1.23713783882529	1	1	sous-entraînement	sous-entraînement	50% validation 31	1
#66C2A5	1.11076172267604	1	1	sous-entraînement	sous-entraînement	50% validation 32	1
#66C2A5	1.27125896663045	1	1	sous-entraînement	sous-entraînement	50% validation 1	1
#66C2A5	1.3549984802344	1	1	sous-entraînement	sous-entraînement	50% validation 74	1
#66C2A5	1.36025405256869	1	1	sous-entraînement	sous-entraînement	50% validation 33	1
#66C2A5	1.22053935285444	1	1	sous-entraînement	sous-entraînement	50% validation 11	1
#66C2A5	1.41720807956486	1	1	sous-entraînement	sous-entraînement	50% validation 72	1
#66C2A5	1.30044582156893	1	1	sous-entraînement	sous-entraînement	50% validation 12	1
#66C2A5	1.31350597153756	1	1	sous-entraînement	sous-entraînement	50% validation 34	1
#66C2A5	1.36370920761928	1	1	sous-entraînement	sous-entraînement	50% validation 86	1
#66C2A5	1.31592316251976	1	1	sous-entraînement	sous-entraînement	50% validation 35	1
#66C2A5	1.27158112439055	1	1	sous-entraînement	sous-entraînement	50% validation 36	1
#66C2A5	1.21820687962271	1	1	sous-entraînement	sous-entraînement	50% validation 37	1
#66C2A5	1.29849190733978	1	1	sous-entraînement	sous-entraînement	50% validation 38	1
#66C2A5	1.35544545595656	1	1	sous-entraînement	sous-entraînement	50% validation 59	1
#66C2A5	1.32325304689987	1	1	sous-entraînement	sous-entraînement	50% validation 60	1
#66C2A5	1.29480118318672	1	1	sous-entraînement	sous-entraînement	50% validation 39	1
#66C2A5	1.27523709811015	1	1	sous-entraînement	sous-entraînement	50% validation 40	1
#66C2A5	1.17811529553613	1	1	sous-entraînement	sous-entraînement	50% validation 41	1
#66C2A5	1.27785364295921	1	1	sous-entraînement	sous-entraînement	50% validation 92	1
#66C2A5	1.3751097415663	1	1	sous-entraînement	sous-entraînement	50% validation 42	1
#66C2A5	1.29596370287215	1	1	sous-entraînement	sous-entraînement	50% validation 43	1
#66C2A5	1.20357985334109	1	1	sous-entraînement	sous-entraînement	50% validation 44	1
#66C2A5	1.27842721254964	1	1	sous-entraînement	sous-entraînement	50% validation 45	1
#66C2A5	1.07433514225651	1	1	sous-entraînement	sous-entraînement	50% validation 13	1
#66C2A5	1.2174495824361	1	1	sous-entraînement	sous-entraînement	50% validation 99	1
#66C2A5	1.25225769276442	1	1	sous-entraînement	sous-entraînement	50% validation 61	1
#66C2A5	1.28655532465107	1	1	sous-entraînement	sous-entraînement	50% validation 14	1
#66C2A5	1.18319011833668	1	1	sous-entraînement	sous-entraînement	50% validation 2	1
#66C2A5	1.39895550242424	1	1	sous-entraînement	sous-entraînement	50% validation 46	1
#66C2A5	1.13812904845166	1	1	sous-entraînement	sous-entraînement	50% validation 75	1
#66C2A5	1.27769066706813	1	1	sous-entraînement	sous-entraînement	50% validation 3	1
#66C2A5	1.34474107409183	1	1	sous-entraînement	sous-entraînement	50% validation 47	1
#66C2A5	1.26718510117848	1	1	sous-entraînement	sous-entraînement	50% validation 76	1
#66C2A5	1.25670934778129	1	1	sous-entraînement	sous-entraînement	50% validation 97	1
#66C2A5	1.25990979437642	1	1	sous-entraînement	sous-entraînement	50% validation 88	1
#66C2A5	1.3102105650496	1	1	sous-entraînement	sous-entraînement	50% validation 62	1
#66C2A5	1.14569588224648	1	1	sous-entraînement	sous-entraînement	50% validation 95	1
#66C2A5	1.28206591398495	1	1	sous-entraînement	sous-entraînement	50% validation 48	1
#66C2A5	1.24616930303438	1	1	sous-entraînement	sous-entraînement	50% validation 49	1
#66C2A5	1.16663868856309	1	1	sous-entraînement	sous-entraînement	50% validation 15	1
#66C2A5	1.26693279409378	1	1	sous-entraînement	sous-entraînement	50% validation 16	1
#66C2A5	1.20229154432951	1	1	sous-entraînement	sous-entraînement	50% validation 17	1
#66C2A5	1.33205529484057	1	1	sous-entraînement	sous-entraînement	50% validation 63	1
#66C2A5	1.34168774757004	1	1	sous-entraînement	sous-entraînement	50% validation 64	1
#66C2A5	1.28833720301504	1	1	sous-entraînement	sous-entraînement	50% validation 26	1
#66C2A5	1.35674202547945	1	1	sous-entraînement	sous-entraînement	50% validation 65	1
#66C2A5	1.25181844753802	1	1	sous-entraînement	sous-entraînement	50% validation 77	1
#66C2A5	1.22640098639892	1	1	sous-entraînement	sous-entraînement	50% validation 50	1
#66C2A5	1.28073208859593	1	1	sous-entraînement	sous-entraînement	50% validation 18	1
#66C2A5	1.34775835562388	1	1	sous-entraînement	sous-entraînement	50% validation 96	1
#66C2A5	1.21196040665129	1	1	sous-entraînement	sous-entraînement	50% validation 51	1
#66C2A5	1.36894634357815	1	1	sous-entraînement	sous-entraînement	50% validation 52	1
#66C2A5	1.15221097930252	1	1	sous-entraînement	sous-entraînement	50% validation 78	1
#66C2A5	1.29936385589289	1	1	sous-entraînement	sous-entraînement	50% validation 53	1
#66C2A5	1.18646791007398	1	1	sous-entraînement	sous-entraînement	50% validation 19	1
#66C2A5	1.19151678039877	1	1	sous-entraînement	sous-entraînement	50% validation 73	1
#66C2A5	1.2406303974086	1	1	sous-entraînement	sous-entraînement	50% validation 54	1
#66C2A5	1.24855707339418	1	1	sous-entraînement	sous-entraînement	50% validation 4	1
#66C2A5	1.25533288427725	1	1	sous-entraînement	sous-entraînement	50% validation 55	1
#66C2A5	1.33374583549393	1	1	sous-entraînement	sous-entraînement	50% validation 5	1
#66C2A5	1.22188382558579	1	1	sous-entraînement	sous-entraînement	50% validation 98	1
#66C2A5	1.28354632715979	1	1	sous-entraînement	sous-entraînement	50% validation 66	1
#66C2A5	1.27641030837396	1	1	sous-entraînement	sous-entraînement	50% validation 89	1
#66C2A5	1.30590084779551	1	1	sous-entraînement	sous-entraînement	50% validation 79	1
#66C2A5	1.17580216231372	1	1	sous-entraînement	sous-entraînement	50% validation 94	1
#66C2A5	1.27695417320774	1	1	sous-entraînement	sous-entraînement	50% validation 80	1
#66C2A5	1.27301768058004	1	1	sous-entraînement	sous-entraînement	50% validation 81	1
#66C2A5	1.1240064750258	1	1	sous-entraînement	sous-entraînement	50% validation 20	1
#66C2A5	1.13628491385189	1	1	sous-entraînement	sous-entraînement	50% validation 21	1
#66C2A5	1.20567031471469	1	1	sous-entraînement	sous-entraînement	50% validation 56	1
#66C2A5	1.34228945710358	1	1	sous-entraînement	sous-entraînement	50% validation 82	1
#66C2A5	1.28983867079225	1	1	sous-entraînement	sous-entraînement	50% validation 67	1
#66C2A5	1.32038007744472	1	1	sous-entraînement	sous-entraînement	50% validation 57	1
#66C2A5	1.19306829075281	1	1	sous-entraînement	sous-entraînement	50% validation 27	1
#66C2A5	1.22496915897977	1	1	sous-entraînement	sous-entraînement	50% validation 83	1
#66C2A5	1.09262671702911	1	1	sous-entraînement	sous-entraînement	50% validation 58	1
#66C2A5	1.25751383303094	1	1	sous-entraînement	sous-entraînement	50% validation 100	1
#66C2A5	1.27696757222248	1	1	sous-entraînement	sous-entraînement	50% validation 68	1
#66C2A5	1.25669573822336	1	1	sous-entraînement	sous-entraînement	50% validation 85	1
#66C2A5	1.24694597413752	1	1	sous-entraînement	sous-entraînement	50% validation 90	1
#66C2A5	1.22992419085673	1	1	sous-entraînement	sous-entraînement	50% validation 84	1
#66C2A5	0.886186651821981	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 32	1
#66C2A5	0.830283917062728	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 33	1
#66C2A5	0.819273666223075	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 85	1
#66C2A5	0.867445612549497	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 77	1
#66C2A5	0.799821367643366	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 4	1
#66C2A5	0.903527150388874	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 34	1
#66C2A5	0.883502170161315	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 28	1
#66C2A5	0.833777939632412	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 78	1
#66C2A5	0.90522417287046	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 35	1
#66C2A5	0.736608573920658	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 5	1
#66C2A5	0.829078026364538	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 36	1
#66C2A5	0.882055348662847	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 6	1
#66C2A5	0.825806633763086	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 37	1
#66C2A5	0.746796133582172	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 91	1
#66C2A5	0.850722546482249	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 38	1
#66C2A5	0.836311464412352	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 39	1
#66C2A5	0.843337729786347	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 7	1
#66C2A5	0.867772888202861	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 92	1
#66C2A5	0.858815020022182	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 79	1
#66C2A5	0.834645241293708	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 98	1
#66C2A5	0.866673205169747	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 40	1
#66C2A5	0.852922020079368	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 97	1
#66C2A5	0.83944085312033	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 71	1
#66C2A5	0.859916565560154	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 8	1
#66C2A5	0.889993360914888	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 41	1
#66C2A5	0.817844969622911	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 9	1
#66C2A5	0.875210000164939	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 42	1
#66C2A5	0.811037198840941	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 89	1
#66C2A5	0.832228154347553	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 29	1
#66C2A5	0.833315684841179	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 43	1
#66C2A5	0.911158488648424	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 44	1
#66C2A5	0.699924026543345	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 72	1
#66C2A5	0.78916563860868	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 95	1
#66C2A5	0.848730379508836	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 73	1
#66C2A5	0.763817613130229	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 10	1
#66C2A5	0.937554979953978	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 45	1
#66C2A5	0.916352325856903	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 46	1
#66C2A5	0.785002017981599	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 11	1
#66C2A5	0.837499936294102	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 30	1
#66C2A5	0.868245011787946	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 47	1
#66C2A5	0.800885893086699	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 48	1
#66C2A5	0.858541872562007	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 49	1
#66C2A5	0.844312939158054	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 80	1
#66C2A5	0.863962071563161	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 50	1
#66C2A5	0.875633247212568	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 51	1
#66C2A5	0.799864311139853	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 12	1
#66C2A5	0.882632198977022	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 52	1
#66C2A5	0.832675156301777	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 13	1
#66C2A5	0.795445266061161	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 14	1
#66C2A5	0.879999612317674	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 31	1
#66C2A5	0.810344483078691	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 15	1
#66C2A5	0.866954387707186	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 74	1
#66C2A5	0.907238943165113	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 81	1
#66C2A5	0.792488446462874	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 53	1
#66C2A5	0.886238255659804	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 96	1
#66C2A5	0.816056857867602	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 1	1
#66C2A5	0.850816201837093	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 16	1
#66C2A5	0.860084598160184	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 54	1
#66C2A5	0.764178043445157	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 75	1
#66C2A5	0.849737848681868	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 93	1
#66C2A5	0.880577740382882	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 55	1
#66C2A5	0.752107951566495	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 56	1
#66C2A5	0.857021154299063	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 57	1
#66C2A5	0.815902078362406	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 58	1
#66C2A5	0.856843283543793	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 17	1
#66C2A5	0.859461687852324	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 82	1
#66C2A5	0.823111149824332	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 59	1
#66C2A5	0.891150067813606	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 90	1
#66C2A5	0.858010265110423	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 18	1
#66C2A5	0.826870091869988	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 2	1
#66C2A5	0.820124428669961	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 99	1
#66C2A5	0.838655761190496	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 60	1
#66C2A5	0.841425730225753	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 61	1
#66C2A5	0.872010978587655	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 19	1
#66C2A5	0.823568636641153	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 62	1
#66C2A5	0.743648940236506	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 63	1
#66C2A5	0.720132223439952	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 94	1
#66C2A5	0.83479128828022	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 76	1
#66C2A5	0.859992028812799	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 3	1
#66C2A5	0.835097028664251	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 20	1
#66C2A5	0.818153375128179	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 64	1
#66C2A5	0.89673723472494	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 21	1
#66C2A5	0.81016730631673	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 86	1
#66C2A5	0.887516141618571	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 22	1
#66C2A5	0.84747795221332	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 65	1
#66C2A5	0.859241340261848	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 23	1
#66C2A5	0.846670704583407	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 87	1
#66C2A5	0.782831661175274	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 24	1
#66C2A5	0.860821972245608	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 83	1
#66C2A5	0.738832214051194	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 66	1
#66C2A5	0.891934653014277	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 67	1
#66C2A5	0.785715040544466	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 84	1
#66C2A5	0.88267219595844	2	1	sous-entraînement	sous-entraînement	VC à 2 blocs 25	1
